,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,BUILDING_CLASS_AT_PRESENT,ADDRESS,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,lnprice,AVG_SALE_PRICE,AVG_SALE_PRICE_CATEGORY
30,CHELSEA,02TWOFAMILYHOMES,1,743,17,B3,343WEST19THSTREET,10011,0.010638297872340425,0.0,0.010256410256410256,0.010489312882187383,0.006003194257781815,1900.0,1,B3,0.4501728337439593,2013-04-25,0.8782163458611142,6221567.651162791,3
31,CHELSEA,03THREEFAMILYHOMES,1,717,64,C0,440WEST20THSTREET,10011,0.015957446808510637,0.0,0.015384615384615385,0.012026539770094154,0.00350139795314344,1901.0,1,C0,0.27314270030781923,2013-06-07,0.8021265032511192,6221567.651162791,3
32,CHELSEA,03THREEFAMILYHOMES,1,745,8,C0,353WEST21STSTREET,10011,0.015957446808510637,0.0,0.015384615384615385,0.01814153790507624,0.004629440036931279,1910.0,1,C0,0.377616322850242,2013-04-04,0.8514334166914628,6221567.651162791,3
33,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,717,52,C2,416WEST20THSTREET,10011,0.026595744680851064,0.0,0.02564102564102564,0.020108284070486374,0.006945090783188822,1910.0,2,C2,0.37005700693344334,2012-12-20,0.8483529507877366,6221567.651162791,3
34,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,719,45,C5,402WEST22NDSTREET,10011,0.03723404255319149,0.02127659574468085,0.041025641025641026,0.006295848357088764,0.0070530552070497046,1900.0,2,C5,0.22662383312751966,2012-11-15,0.7737403055338088,6221567.651162791,3
35,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,719,75,C3,460WEST22NDSTREET,10011,0.02127659574468085,0.0,0.020512820512820513,0.012557787297532525,0.004424679922712364,1900.0,2,C3,0.29575603852046484,2012-08-23,0.8142286160124391,6221567.651162791,3
36,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,720,5,C3,485WEST22NDSTREET,10011,0.02127659574468085,0.0,0.020512820512820513,0.0121847837144375,0.00586544654458,1900.0,2,C3,0.29898651540798565,2012-12-28,0.8158818805508727,6221567.651162791,3
37,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,722,11,C2,449WEST24THSTREET,10011,0.026595744680851064,0.0,0.02564102564102564,0.01794938454408789,0.005720253009042951,1900.0,2,C2,0.25052936209517357,2012-12-04,0.7889837158900233,6221567.651162791,3
38,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,738,63,C2,342WEST15THSTREET,10011,0.031914893617021274,0.0,0.03076923076923077,0.011970024075685818,0.005493155427818337,1900.0,2,C2,0.4207740080481517,2013-03-27,0.867922667417534,6221567.651162791,3
39,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2,740,52,C4,338WEST17THSTREET,10011,0.09042553191489362,0.0,0.08717948717948718,0.02069604729233308,0.014009314723741376,1900.0,2,C4,0.3862093913710473,2012-11-27,0.8548614002669224,6221567.651162791,3
40,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2,741,61,C1,352WEST18THSTREET,10011,0.0851063829787234,0.0,0.08205128205128205,0.02069604729233308,0.01456775139888387,1910.0,2,C1,0.5800380046222956,2012-08-09,0.9168673466960096,6221567.651162791,3
41,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,743,15,C1,347WEST19THSTREET,10011,0.0425531914893617,0.0,0.041025641025641026,0.010489312882187383,0.0026637429404296983,1920.0,2,C1,0.10192742526921664,2012-12-19,0.6527312535110785,6221567.651162791,3
42,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,743,16,C1,345WEST19THSTREET,10011,0.0425531914893617,0.0,0.041025641025641026,0.010489312882187383,0.003235209804658851,1910.0,2,C1,0.19238077811979915,2012-12-19,0.7488615347154637,6221567.651162791,3
43,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2,753,30,C5,311WEST29THSTREET,10001,0.10106382978723404,0.0,0.09743589743589744,0.019531823987521336,0.010342247223638997,1900.0,2,C5,0.27314270030781923,2012-09-27,0.8021265032511192,6221567.651162791,3
44,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,764,21,C5,233WEST14THSTREET,10011,0.031914893617021274,0.0425531914893617,0.041025641025641026,0.028608244509500287,0.013879012832874795,1920.0,2,C5,0.4378970215713802,2012-10-17,0.8740020340272802,6221567.651162791,3
45,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,770,44,C1,204WEST21STSTREET,10011,0.0425531914893617,0.0,0.041025641025641026,0.011404867131602447,0.003694989333859505,1910.0,2,C1,0.1729979167946743,2013-05-09,0.7327492272468825,6221567.651162791,3
46,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2,774,55,C4,226WEST25THSTREET,10001,0.10638297872340426,0.0,0.10256410256410256,0.02790744989883691,0.018718797350776414,1925.0,2,C4,0.6769523112479197,2012-12-21,0.9404409134573367,6221567.651162791,3
47,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2B,775,8,C4,261WEST25THSTREET,10001,0.05319148936170213,0.0,0.05128205128205128,0.02260627776333488,0.007978198632202437,1901.0,2,C4,0.7092570801231277,2012-12-20,0.9475550091949361,6221567.651162791,3
48,CHELSEA,07RENTALS-WALKUPAPARTMENTS,2A,790,65,C2,152WEST15THSTREET,10011,0.026595744680851064,0.0,0.02564102564102564,0.01730510562783285,0.010366446146228505,1910.0,2,C2,0.4346665446838594,2012-12-04,0.8728734275736387,6221567.651162791,3
49,CHELSEA,08RENTALS-ELEVATORAPARTMENTS,2,764,12,D6,245WEST14THSTREET,10011,0.11170212765957446,0.02127659574468085,0.11282051282051282,0.052706536605215265,0.0691772738610684,2009.0,2,D6,0.9353904622495839,2012-10-18,0.9898011895185229,6221567.651162791,3
50,CHELSEA,08RENTALS-ELEVATORAPARTMENTS,2,800,20,D6,135WEST24THSTREET,10011,0.12234042553191489,0.02127659574468085,0.12307692307692308,0.02776050909337523,0.021611499328014535,1901.0,2,D6,0.1220461892293187,2012-10-05,0.6799255477148596,6221567.651162791,3
51,CHELSEA,08RENTALS-ELEVATORAPARTMENTS,2,801,49,D5,110WEST26THSTREET,10001,0.05851063829787234,0.0425531914893617,0.06666666666666667,0.040928665890517794,0.0465885103515545,1907.0,2,D5,0.13915285653949636,2012-12-21,0.6997647430324602,6221567.651162791,3
52,CHELSEA,14RENTALS-4-10UNIT,2B,794,12,S5,153WEST18THSTREET,10011,0.031914893617021274,0.02127659574468085,0.035897435897435895,0.012252602547727504,0.005213937090247089,1877.0,2,S5,0.670871390773926,2012-11-28,0.9390639672370253,6221567.651162791,3
53,CHELSEA,14RENTALS-4-10UNIT,2A,803,33,S9,103WEST27THSTREET,10001,0.015957446808510637,0.0425531914893617,0.02564102564102564,0.013552463519119259,0.007067946851720171,1920.0,2,S9,0.22468554699500717,2013-03-27,0.7724351014767904,6221567.651162791,3
54,CHELSEA,22STOREBUILDINGS,4,693,8,K1,547WEST21STSTREET,10011,0.0,0.02127659574468085,0.005128205128205128,0.050513727662171784,0.009843377127178369,1960.0,4,K1,0.5310639750074801,2012-11-28,0.9034127267523022,6221567.651162791,3
55,CHELSEA,22STOREBUILDINGS,4,694,1,K9,16211THAVENUE,10011,0.0,0.0425531914893617,0.010256410256410256,0.015620937934464401,0.01193006883662749,1930.0,4,K9,0.37974843759600574,2012-12-31,0.8522911636248216,6221567.651162791,3
56,CHELSEA,22STOREBUILDINGS,4,699,49,K9,526WEST28THSTREET,10001,0.0,0.02127659574468085,0.005128205128205128,0.21228425133659617,0.06329135130506651,1900.0,4,K9,0.9676952311247919,2013-07-12,0.9949856005936785,6221567.651162791,3
