,NEIGHBORHOOD,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
22,MIDTOWNEAST,1333.0,44.4,10021.0,0.07238095238095238,0.1875,0.08125,0.13909426408957276,0.06533461334864567,1900.1,2.7,0.1081
23,MIDTOWNWEST,1027.75,59.5,10027.5,0.07857142857142857,0.125,0.08258928571428571,0.11018327391005192,0.06421759064033664,1922.5,2.0,0.095160785
24,MURRAYHILL,884.4347826086956,51.82608695652174,10016.0,0.1341614906832298,0.21195652173913043,0.14091614906832298,0.14839774708254805,0.11739875506678146,1919.0869565217392,2.3043478260869565,0.1409918260869565
25,SOHO,461.23809523809524,20.428571428571427,10012.333333333334,0.053968253968253964,0.27976190476190477,0.07057823129251702,0.19543259851009898,0.11808568497695246,1906.1904761904761,2.7142857142857144,0.24944456666666667
26,SOUTHBRIDGE,99.5,28.0,10038.0,0.23333333333333334,0.1875,0.23214285714285712,0.2154563082504535,0.1632154104273397,1955.0,3.0,0.2775
27,TRIBECA,156.85714285714286,24.0,10011.285714285714,0.024489795918367346,0.17857142857142858,0.034438775510204085,0.12192048896871566,0.07745075294892713,1914.2857142857142,2.2857142857142856,0.16124285714285716
28,UPPEREASTSIDE(59-79),1415.6666666666667,46.857142857142854,10041.952380952382,0.13718820861678005,0.20238095238095238,0.14285714285714285,0.20122450681655035,0.1727948040606734,1915.1190476190477,2.0952380952380953,0.18055029142857143
29,UPPEREASTSIDE(79-96),1540.3870967741937,42.38709677419355,10074.677419354839,0.14685099846390168,0.24193548387096775,0.15495391705069125,0.16796106513961948,0.08541728952609237,1918.741935483871,1.903225806451613,0.12992451612903225
30,UPPERWESTSIDE(59-79),1158.25,63.5,10023.75,0.22380952380952382,0.25,0.22767857142857142,0.3055294927128292,0.2382690185452686,1907.75,2.0,0.38295
31,UPPERWESTSIDE(79-96),1230.0,32.666666666666664,10024.333333333334,0.16825396825396824,0.4583333333333333,0.19047619047619047,0.22958236900815246,0.26697590401081434,1911.6666666666667,1.6666666666666667,0.4166666666666667
32,UPPERWESTSIDE(96-116),1871.0,44.25,10025.0,0.15476190476190477,0.25,0.16294642857142858,0.22788828423093765,0.14833523242147195,1924.0,2.0,0.12128562000000001
33,WASHINGTONHEIGHTSLOWER,2129.8,83.3,10032.3,0.3419047619047619,0.2875,0.3410714285714286,0.5618127228373053,0.3332648465327436,1918.3,2.0,0.12946733
34,WASHINGTONHEIGHTSUPPER,2167.0,83.5,10036.5,0.38015873015873014,0.3229166666666667,0.37946428571428575,0.5848606159170994,0.32879271826803164,1919.6666666666667,1.8333333333333333,0.13463
